Full_CD8_V7_1	Full_CD8_V7_2	Full_CD8_V7_3	Full_CD8_V7_4	fulldel_CD8_V7_1	fulldel_CD8_V7_2	fulldel_CD8_V7_3	fulldel_CD8_V7_4
AJAP1	-1.42593444617224	-1.43311583662374	-1.43590870206449	-1.36041379273573	-1.43675870534154	-1.39710506962255	-1.43872210167317	-1.43537320514847
NPHP4	4.81962311417656	5.43358141639512	6.0933720008389	6.12196253203473	5.72879638084002	6.13733555186811	5.95398853869549	6.02347383523757
KCNAB2	8.45910695164475	8.28187581661577	8.69139798672384	9.13538725672661	9.35659074877029	9.54954952378474	9.30300347734753	8.8596103168742
CHD5	-0.880894436583274	-0.891569675493001	-0.891716390387033	-0.891727624696562	-0.797321774013617	-0.891669211319247	-0.891844982331937	-0.744544616559182
RPL22	11.7597699726697	11.242285362206	10.721521303494	10.6022938096218	10.5342699238825	10.3253040806809	10.2360821766511	10.4896429440821
RNF207	6.20697295419884	4.72342838360205	5.87528689564492	4.63625813281053	2.99286856815702	3.35371911266464	2.95906431205462	2.70863331516784
ICMT	7.06200712144781	7.57103827580357	8.31188937503384	7.99136617089016	7.60726783398993	8.07253316001464	8.07192532663815	8.32034545001517
HES3	0	0	0	0	0	0	0	0
GPR153	2.65060760997516	2.52936212243001	2.6082137364734	2.17935968742325	3.87683073624927	2.1809866501065	2.32562538751859	2.9821150450273
ACOT7	8.20996904811115	7.31877993692828	8.79282338904873	10.6520591364884	10.9962191742502	10.7521670084713	11.0349150205869	9.24919140679943
HES2	0	0	0	0	0	0	0	0
ESPN	-2.14011702509121	-2.12808297766767	-2.14402918967711	-2.1441196614843	-2.14436258324093	-2.14366016497395	-2.14513267874276	-2.14381915375129
TNFRSF25	2.67714862037903	2.96372138084444	4.06219926116108	4.00948561518569	5.8155469302582	3.61176671333576	6.65984086028253	3.16593917981361
PLEKHG5	1.08541997338102	1.1605537011583	1.73253916062287	1.08067591697021	1.71284063071319	1.08111207742729	1.0797970951859	1.0809583829117
NOL9	9.71190699558526	10.4086590317653	9.80706514607312	9.67341339804235	9.60166548557373	8.95018135793466	9.56038131356575	9.65459083697871
TAS1R1	0	0	0	0	0	0	0	0
ZBTB48	4.05508922269866	4.20610136279517	5.5885224415557	7.0632948708029	7.21299812167356	7.19615927795859	7.33568678056476	5.51105996525824
KLHL21	7.55712708125682	7.72760263049495	8.59169805495502	8.25042570009966	7.30913274929966	7.08450858289921	7.53158145202315	7.51571190064143
PHF13	5.76271446842183	7.03500877486623	5.52931073927127	6.97695593283576	5.33206130404406	4.57886728430869	3.83074402498344	3.99568916737742
THAP3	4.25572180646416	4.89127545300327	7.12492943003425	8.16543874218422	7.47115686779597	8.02825633429133	8.05505917058298	7.44259720488566
DNAJC11	7.75205147435237	8.12364760344956	8.57394060867153	9.02154314548283	8.90125471812152	8.46720481155917	8.50905898744299	7.49302552331139
CAMTA1	9.86580115357359	9.90658869560602	9.60734944288293	9.61493301283764	9.34155359326747	9.6396883787646	9.55961002053744	9.15058951233033
VAMP3	9.9332688538066	9.68958175932695	9.93464367167462	10.1876354192314	10.1513829924923	10.0449842541068	10.0368260740372	10.3459552710538
PER3	8.28526347440589	7.61212985376606	8.65021317022065	8.80232043480676	8.97536741265393	8.45909585550742	8.5163409386419	8.8376418313659
UTS2	3.51443401246681	5.58560972775656	5.13738962446138	4.0836486030071	4.63053410853611	5.37263236220073	4.86716361827665	5.38180708919895
